Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;09.04.2009;2,9;7,3;15,8;11
Oslo - Blindern;SN18700;10.04.2009;4,8;6,7;0,1;12,4
Oslo - Blindern;SN18700;06.04.2010;0;8;0;4,9
Oslo - Blindern;SN18700;07.04.2010;0;8;1,4;8,7
Oslo - Blindern;SN18700;08.04.2010;0,1;7,7;0;7,7
Oslo - Blindern;SN18700;09.04.2010;-;5,7;3,1;14,1
Oslo - Blindern;SN18700;10.04.2010;13;1,3;0;13
Oslo - Blindern;SN18700;06.04.2011;-;6,3;8;14,4
Oslo - Blindern;SN18700;07.04.2011;-;4;0,4;12,3
Oslo - Blindern;SN18700;08.04.2011;-;2,3;0;14,3
Oslo - Blindern;SN18700;09.04.2011;-;2,7;0;15,3
Oslo - Blindern;SN18700;10.04.2011;-;7,3;0;18,2
Oslo - Blindern;SN18700;06.04.2012;-;5,7;0;6,2
Oslo - Blindern;SN18700;07.04.2012;-;2,3;0;5,9
Oslo - Blindern;SN18700;08.04.2012;-;5,3;0;7
Oslo - Blindern;SN18700;09.04.2012;-;8;0,1;3,9
Oslo - Blindern;SN18700;10.04.2012;-;7,7;18,8;7,2
Oslo - Blindern;SN18700;06.04.2013;2,8;5,3;0;6,2
Oslo - Blindern;SN18700;07.04.2013;11,4;3;0;6,2
Oslo - Blindern;SN18700;08.04.2013;12,5;2;0;6,3
Oslo - Blindern;SN18700;09.04.2013;12,8;2,3;0;6,7
Oslo - Blindern;SN18700;10.04.2013;8,9;5,7;0;5
Oslo - Blindern;SN18700;06.04.2014;0,3;8;3,9;9,2
Oslo - Blindern;SN18700;07.04.2014;4;8;9,2;13,2
Oslo - Blindern;SN18700;08.04.2014;0;8;1,2;10,1
Oslo - Blindern;SN18700;09.04.2014;0;8;16,9;5,5
Oslo - Blindern;SN18700;10.04.2014;0;8;2,1;4,2
Oslo - Blindern;SN18700;06.04.2015;9;7;0;10,5
Oslo - Blindern;SN18700;07.04.2015;7,1;7;0;14,9
Oslo - Blindern;SN18700;08.04.2015;9,7;6;0;12,6
Oslo - Blindern;SN18700;09.04.2015;9;5,3;0;15,5
Oslo - Blindern;SN18700;10.04.2015;7,6;5,7;0;15,4
Oslo - Blindern;SN18700;06.04.2016;2,2;7,3;0,3;10,9
Oslo - Blindern;SN18700;07.04.2016;0;8;7,2;7,4
Oslo - Blindern;SN18700;08.04.2016;0;8;4,5;6,4
Oslo - Blindern;SN18700;09.04.2016;6;5;1,4;9
Oslo - Blindern;SN18700;10.04.2016;9,2;4,3;0,1;12,9
Oslo - Blindern;SN18700;06.04.2017;3,5;6,7;0,1;11,5
Oslo - Blindern;SN18700;07.04.2017;11,5;5,7;0;17,6
Oslo - Blindern;SN18700;08.04.2017;5,8;6,7;0;15,9
Oslo - Blindern;SN18700;09.04.2017;8,6;7,3;0;15
Oslo - Blindern;SN18700;10.04.2017;8,7;5,7;0,3;14,1
Oslo - Blindern;SN18700;06.04.2018;12;3;7,5;9,6
Oslo - Blindern;SN18700;07.04.2018;0;7,7;0;5,9
Oslo - Blindern;SN18700;08.04.2018;0;8;0;7
Oslo - Blindern;SN18700;09.04.2018;0;7,7;5,4;4,4
Oslo - Blindern;SN18700;10.04.2018;9,9;4,7;2,2;8,4
Oslo - Blindern;SN18700;06.04.2019;6,9;5,3;0;11,6
Oslo - Blindern;SN18700;07.04.2019;9,3;2,3;0;10,4
Oslo - Blindern;SN18700;08.04.2019;13,1;1,3;0;8,6
Oslo - Blindern;SN18700;09.04.2019;13,1;1,3;0;7,4
Oslo - Blindern;SN18700;10.04.2019;12,1;3;0;6,3
Oslo - Blindern;SN18700;06.04.2020;11,6;3,7;1,6;13,3
Oslo - Blindern;SN18700;07.04.2020;11,4;3,7;0,3;14,9
