Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;15.03.1989;7,6;3,7;0;5,5
Oslo - Blindern;SN18700;16.03.1989;3,7;5,3;0,5;5
Oslo - Blindern;SN18700;17.03.1989;9,7;1,3;3,5;6,4
Oslo - Blindern;SN18700;18.03.1989;3,1;5;0;5,2
Oslo - Blindern;SN18700;19.03.1989;10,4;1,7;0;11,8
Oslo - Blindern;SN18700;01.03.1990;3,3;5,3;0;3,8
Oslo - Blindern;SN18700;02.03.1990;9;1,7;0;3,5
Oslo - Blindern;SN18700;03.03.1990;1,3;5;0;2,1
Oslo - Blindern;SN18700;04.03.1990;7,4;3,3;0;8,9
Oslo - Blindern;SN18700;05.03.1990;5,1;3,7;0;8,7
Oslo - Blindern;SN18700;06.03.1990;9,3;1,3;0;7,2
Oslo - Blindern;SN18700;07.03.1990;0;5,7;0;3,6
Oslo - Blindern;SN18700;08.03.1990;9,1;2;1,4;9,8
Oslo - Blindern;SN18700;09.03.1990;0,5;7;3;5,6
Oslo - Blindern;SN18700;10.03.1990;0,4;6,7;0,5;3,8
Oslo - Blindern;SN18700;11.03.1990;0,6;5,7;0,1;2,8
Oslo - Blindern;SN18700;12.03.1990;10;1,3;8,3;8,3
Oslo - Blindern;SN18700;13.03.1990;9,1;2;0;5,7
Oslo - Blindern;SN18700;14.03.1990;0;8;0,9;3,7
Oslo - Blindern;SN18700;15.03.1990;0;7,7;3,2;7
Oslo - Blindern;SN18700;16.03.1990;6,7;5,7;0;12,9
Oslo - Blindern;SN18700;17.03.1990;0;7,7;0;9,9
Oslo - Blindern;SN18700;18.03.1990;3,7;7;0;12,6
Oslo - Blindern;SN18700;19.03.1990;2,7;5,7;0;12,5
Oslo - Blindern;SN18700;01.03.1991;0;7,3;0;-0,9
Oslo - Blindern;SN18700;02.03.1991;0;8;1,2;-0,1
Oslo - Blindern;SN18700;03.03.1991;0;8;0,8;0
Oslo - Blindern;SN18700;04.03.1991;7,9;5,7;3,8;2,2
Oslo - Blindern;SN18700;05.03.1991;0;8;0;-0,1
Oslo - Blindern;SN18700;06.03.1991;0;8;0,4;0
Oslo - Blindern;SN18700;07.03.1991;0;8;12,7;1,5
Oslo - Blindern;SN18700;08.03.1991;0;8;4,4;2
Oslo - Blindern;SN18700;09.03.1991;0;8;0;2,5
Oslo - Blindern;SN18700;10.03.1991;0;8;0;2,4
Oslo - Blindern;SN18700;11.03.1991;0;8;1,6;2,5
Oslo - Blindern;SN18700;12.03.1991;0,4;8;0;3
Oslo - Blindern;SN18700;13.03.1991;0;8;0,1;1,5
Oslo - Blindern;SN18700;14.03.1991;0;8;9,2;2,8
Oslo - Blindern;SN18700;15.03.1991;2;7;0,3;3,5
Oslo - Blindern;SN18700;16.03.1991;0;7,7;0;3,2
Oslo - Blindern;SN18700;17.03.1991;0;8;7,6;2
Oslo - Blindern;SN18700;18.03.1991;0;8;0,7;3,5
Oslo - Blindern;SN18700;19.03.1991;0;8;2,3;4,9
Oslo - Blindern;SN18700;01.03.1992;0,4;7,3;0;4,7
Oslo - Blindern;SN18700;02.03.1992;0;8;6,7;5,7
Oslo - Blindern;SN18700;03.03.1992;2,7;3,3;4,2;6,5
Oslo - Blindern;SN18700;04.03.1992;4,3;3,3;0;7,7
Oslo - Blindern;SN18700;05.03.1992;0;8;0;5,9
Oslo - Blindern;SN18700;06.03.1992;0;8;1;5,1
Oslo - Blindern;SN18700;07.03.1992;0;8;2,5;5
Oslo - Blindern;SN18700;08.03.1992;0;8;0;5,1
Oslo - Blindern;SN18700;09.03.1992;0;7,7;1,4;4,8
Oslo - Blindern;SN18700;10.03.1992;0;8;0,2;4,8
Oslo - Blindern;SN18700;11.03.1992;7,7;4;3,2;7,5
Oslo - Blindern;SN18700;12.03.1992;2,5;6,3;0,7;6,2
Oslo - Blindern;SN18700;13.03.1992;2,9;5,7;5;3,6
Oslo - Blindern;SN18700;14.03.1992;4,4;3,7;0,3;1,5
Oslo - Blindern;SN18700;15.03.1992;5,4;3,3;0;5
Oslo - Blindern;SN18700;16.03.1992;5,2;4,7;0;3,5
Oslo - Blindern;SN18700;17.03.1992;0,6;7,3;2,5;9
Oslo - Blindern;SN18700;18.03.1992;3,5;6,3;0;10
Oslo - Blindern;SN18700;19.03.1992;3;6;2;8,6
Oslo - Blindern;SN18700;01.03.1993;8,3;0,3;0,6;0,6
Oslo - Blindern;SN18700;02.03.1993;6,7;2;0;-2,7
Oslo - Blindern;SN18700;03.03.1993;5,2;2,7;0;-2,9
Oslo - Blindern;SN18700;04.03.1993;7,4;6;0;2,7
Oslo - Blindern;SN18700;05.03.1993;8,4;2,3;0,5;9,5
Oslo - Blindern;SN18700;06.03.1993;6,3;4,3;0;7,2
Oslo - Blindern;SN18700;07.03.1993;0,8;5,3;0;5
Oslo - Blindern;SN18700;08.03.1993;0;7,7;0;3,6
Oslo - Blindern;SN18700;09.03.1993;0;6,7;0;4,1
Oslo - Blindern;SN18700;10.03.1993;7,7;2,7;0;4,1
Oslo - Blindern;SN18700;11.03.1993;8,8;2;0;4,8
Oslo - Blindern;SN18700;12.03.1993;8,1;2;0;5,4
Oslo - Blindern;SN18700;13.03.1993;0;8;0;2,9
Oslo - Blindern;SN18700;14.03.1993;0;8;0;3,6
